GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Unfall durch ruhenden Verkehr;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;1;2;4;7;3;1;3;3;-;5;5;3;-
Unfall durch ruhenden Verkehr;auf Autobahnen;Getötete;Verunglückte;Anzahl;1;2;4;9;3;2;3;3;-;8;6;4;-
Unfall durch ruhenden Verkehr;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;7;15;16;14;5;12;8;18;12;27;15;9;25
Unfall durch ruhenden Verkehr;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;11;22;24;23;8;14;12;25;15;38;19;17;37
Unfall durch ruhenden Verkehr;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;29;32;33;31;30;32;30;38;27;28;37;48;38
Unfall durch ruhenden Verkehr;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;35;49;45;59;41;44;47;68;49;56;59;66;55
Unfall durch ruhenden Verkehr;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;37;49;53;52;38;45;41;59;39;60;57;60;63
Unfall durch ruhenden Verkehr;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;47;73;73;91;52;60;62;96;64;102;84;87;92
Unfall durch ruhenden Verkehr;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;21;20;35;23;28;13;23;19;21;17;24;26;18
Unfall durch ruhenden Verkehr;Insgesamt;Getötete;Verunglückte;Anzahl;21;21;36;26;29;14;25;19;22;20;27;27;18
Unfall durch ruhenden Verkehr;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;1232;1211;1088;1179;1238;1141;1275;1239;1190;1231;1188;1212;1067
Unfall durch ruhenden Verkehr;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;1279;1259;1134;1232;1296;1202;1333;1299;1247;1287;1245;1282;1123
Unfall durch ruhenden Verkehr;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;8611;8042;7190;7993;8279;7955;8591;8283;8591;8353;8704;8563;7739
Unfall durch ruhenden Verkehr;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;9689;9138;8122;9046;9318;8958;9640;9337;9771;9438;9914;9727;8572
Unfall durch ruhenden Verkehr;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;9864;9273;8313;9195;9545;9109;9889;9541;9802;9601;9916;9801;8824
